ctuid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
9320001.00,9320001.00,30.7,15.7,0.0,0.0,50.3,0.0,0.0,0.6,0.0,2425
9320002.00,9320002.00,41.0,29.9,0.0,2.0,26.2,0.0,0.0,0.0,0.0,1220
9320003.00,9320003.00,27.1,25.9,1.3,4.1,40.0,0.4,0.0,0.0,0.9,7910
9320004.00,9320004.00,29.6,29.5,1.6,3.7,34.8,0.3,0.0,0.0,0.4,7455
9320005.01,9320005.01,33.5,34.8,2.2,4.6,23.6,0.0,0.0,0.0,1.2,3820
9320005.02,9320005.02,51.4,36.7,1.6,0.7,6.9,1.3,0.3,0.0,1.1,6710
9320006.00,9320006.00,46.4,35.3,1.7,2.2,12.3,0.9,0.0,0.0,1.0,7090
9320007.01,9320007.01,42.8,37.4,0.9,3.0,13.8,0.5,0.0,0.0,1.6,4015
9320007.02,9320007.02,48.1,30.0,1.4,2.3,16.5,0.4,0.0,0.0,1.2,5590
9320008.03,9320008.03,16.1,12.4,1.1,4.1,65.3,0.9,0.0,0.0,0.3,6410
9320008.04,9320008.04,13.1,8.7,0.7,6.3,70.3,0.4,0.0,0.0,0.4,6745
9320008.05,9320008.05,13.1,15.6,2.3,5.8,62.7,0.5,0.0,0.0,0.0,4630
9320008.06,9320008.06,26.2,16.6,1.8,3.2,50.1,1.4,0.0,0.0,0.0,3650
9320009.01,9320009.01,20.5,14.4,0.0,5.8,58.1,0.8,0.0,0.0,0.4,7130
9320009.02,9320009.02,36.0,29.0,1.7,3.0,29.6,0.6,0.0,0.0,0.0,6040
9320011.00,9320011.00,49.5,43.3,0.3,1.0,4.8,0.5,0.0,0.0,0.6,7360
9320012.01,9320012.01,46.9,43.6,0.5,1.6,5.5,1.1,0.0,0.0,0.7,5635
9320012.02,9320012.02,48.9,42.5,0.9,0.8,4.7,0.7,0.0,0.0,1.2,4495
9320013.01,9320013.01,0.0,70.8,0.0,0.0,0.0,0.0,0.0,20.8,0.0,120
9320013.02,9320013.02,41.2,36.1,0.0,0.0,20.0,1.1,0.3,0.0,0.4,3520
9320014.01,9320014.01,48.3,33.6,0.9,0.5,15.4,0.6,0.0,0.2,0.3,6535
9320014.02,9320014.02,26.4,30.2,1.8,3.4,36.4,1.5,0.0,0.0,0.2,5180
9320100.00,9320100.00,53.6,29.5,0.0,0.0,15.9,0.0,0.0,0.0,0.4,3340
9320101.00,9320101.00,46.5,31.7,1.4,1.2,16.8,1.2,0.0,0.0,0.9,2805
9320102.00,9320102.00,39.6,45.3,3.1,0.9,8.5,1.2,0.4,0.0,1.3,5170
9320103.00,9320103.00,50.3,44.0,1.0,0.0,2.1,0.0,0.0,0.0,2.3,1930
9320104.00,9320104.00,43.8,45.4,1.6,0.4,7.0,0.3,0.0,0.0,1.3,5565
9320105.00,9320105.00,45.5,43.6,3.8,0.0,6.2,0.5,0.0,0.0,0.0,4365
9320106.03,9320106.03,23.9,71.7,0.0,0.0,0.0,0.0,0.0,4.3,0.0,230
9320106.04,9320106.04,47.2,37.9,2.5,0.8,10.4,0.3,0.0,0.0,1.0,4805
9320106.05,9320106.05,50.0,35.6,1.5,1.5,10.1,0.6,0.0,0.0,0.6,4240
9320106.06,9320106.06,47.0,43.8,2.1,0.9,5.0,0.4,0.0,0.0,0.6,4975
9320200.00,9320200.00,35.6,57.2,0.0,0.6,3.7,1.0,0.0,0.0,1.2,3625
9320201.01,9320201.01,34.3,56.0,0.0,0.3,7.1,0.0,0.6,0.0,1.0,4855
9320201.02,9320201.02,30.7,60.8,1.1,0.2,5.0,0.7,0.0,0.0,0.8,4365
9320202.00,9320202.00,30.8,58.0,0.4,0.6,8.7,1.0,0.0,0.0,0.4,7865
9320203.00,9320203.00,25.2,60.4,1.2,2.0,10.0,0.3,0.0,0.0,0.7,3015
9320204.00,9320204.00,36.0,56.3,1.3,1.7,4.1,0.4,0.0,0.0,0.0,3790
9320205.00,9320205.00,28.9,52.2,0.5,1.8,15.6,0.4,0.0,0.0,0.5,8240
9320206.01,9320206.01,29.5,64.0,0.9,0.6,1.7,2.3,0.0,0.0,0.8,2665
9320206.02,9320206.02,37.3,59.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,335
9320207.00,9320207.00,40.5,53.4,0.7,0.0,4.3,0.7,0.0,0.0,0.0,2210
5680001.01,5680001.01,58.9,35.7,1.5,1.0,0.4,0.4,1.7,0.0,0.4,7850
5680001.02,5680001.02,47.9,47.0,2.1,0.7,0.4,0.2,0.7,0.0,0.8,6050
5680001.04,5680001.04,49.8,42.5,3.4,1.1,0.4,0.6,0.6,0.0,1.6,6115
5680001.05,5680001.05,55.1,35.1,4.2,3.0,1.0,0.7,0.4,0.0,0.4,4945
5680001.06,5680001.06,61.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860
5680001.07,5680001.07,57.7,33.7,3.7,1.5,0.7,0.7,1.6,0.0,0.5,8195
5680002.00,5680002.00,52.5,46.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1380
5680003.00,5680003.00,52.7,37.2,3.4,2.7,1.3,0.0,1.9,0.0,0.6,2380
5680004.01,5680004.01,56.4,38.3,2.7,0.8,0.0,0.8,0.0,0.0,0.6,4645
5680004.03,5680004.03,55.6,41.3,1.5,0.0,0.0,0.0,0.7,0.0,0.0,3730
5680004.04,5680004.04,58.7,36.7,1.8,0.9,0.2,0.7,0.6,0.0,0.5,6060
5680004.05,5680004.05,51.9,41.9,3.4,1.5,0.6,0.2,0.2,0.0,0.6,6245
5680004.06,5680004.06,53.0,35.1,7.3,1.3,0.6,0.3,1.3,0.0,1.1,6410
5680004.07,5680004.07,52.8,42.8,2.7,0.3,0.0,0.7,0.0,0.0,0.0,3390
5680005.00,5680005.00,51.0,44.5,1.4,0.8,0.7,0.2,0.7,0.0,0.5,6645
5680006.00,5680006.00,56.0,38.9,0.7,1.3,0.0,1.3,0.4,0.0,1.3,3840
5680007.00,5680007.00,44.7,51.3,1.0,0.4,0.0,0.7,0.4,0.0,1.1,3520
5680008.00,5680008.00,58.6,36.2,2.0,0.8,0.9,0.4,0.5,0.0,0.6,5880
5680009.00,5680009.00,47.9,46.7,1.5,1.8,0.4,0.2,0.7,0.0,0.6,6055
5680010.00,5680010.00,54.3,39.3,3.0,0.9,0.8,0.0,0.0,0.0,1.0,3985
5680011.01,5680011.01,53.5,39.3,3.4,1.2,0.8,0.4,0.7,0.0,0.8,7305
5680011.02,5680011.02,52.6,40.9,4.0,0.0,0.0,0.0,0.9,0.0,1.1,2225
5680012.01,5680012.01,50.6,43.2,2.3,1.8,0.0,0.8,0.0,0.0,0.0,3110
5680012.02,5680012.02,47.2,44.8,3.3,1.9,1.1,0.2,0.5,0.0,0.9,6005
5680013.00,5680013.00,48.5,46.9,1.4,1.0,0.4,0.3,0.4,0.2,1.1,6520
5680014.00,5680014.00,56.1,41.6,0.3,0.3,0.0,0.4,0.0,0.0,0.9,4890
5680015.01,5680015.01,39.8,47.2,1.0,6.5,2.9,0.7,0.7,0.0,1.2,4155
5680015.02,5680015.02,45.3,41.3,1.7,4.6,5.7,0.0,0.0,0.0,0.6,2385
5680015.03,5680015.03,46.8,39.4,2.2,5.6,4.0,0.5,0.3,0.0,1.0,3870
5680016.00,5680016.00,53.2,40.0,2.3,2.0,1.4,0.2,0.3,0.0,0.5,5550
5680100.00,5680100.00,52.8,40.1,1.6,2.9,0.0,0.7,1.0,0.6,0.0,5355
5680101.00,5680101.00,64.0,32.3,1.3,0.2,0.0,1.0,0.3,0.0,0.4,5740
5680102.01,5680102.01,55.1,35.7,3.1,0.0,0.9,0.4,4.2,0.0,0.5,2760
5680102.02,5680102.02,50.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390
5680102.03,5680102.03,59.3,39.6,0.0,0.4,0.0,0.0,0.8,0.0,0.0,2665
5680102.04,5680102.04,57.4,33.5,0.0,5.2,0.0,0.0,0.0,0.0,0.0,775
5680103.03,5680103.03,49.7,44.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,795
5680103.04,5680103.04,55.5,34.8,3.9,3.4,0.7,0.7,0.9,0.0,0.3,3480
5680103.05,5680103.05,49.1,47.7,0.6,0.0,0.0,0.4,1.7,0.0,0.4,4100
5680103.06,5680103.06,63.2,29.8,2.0,1.9,0.4,0.4,1.9,0.0,0.3,6955
5680103.07,5680103.07,56.9,32.5,3.3,2.1,0.0,0.8,3.3,0.0,1.1,3735
5680103.08,5680103.08,52.2,42.5,0.0,0.7,0.0,0.3,2.3,0.0,1.5,3660
5680104.00,5680104.00,61.7,36.0,0.0,0.0,0.0,0.5,1.4,0.0,0.4,3955
5680200.00,5680200.00,57.5,40.7,0.9,0.0,0.0,0.0,0.5,0.0,0.0,5125
5680201.00,5680201.00,58.9,36.4,1.6,0.8,0.4,0.4,0.9,0.0,0.7,8360
5680202.01,5680202.01,57.3,41.8,0.0,0.0,0.0,0.3,0.0,0.0,0.3,5345
5680202.02,5680202.02,54.8,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735
5220001.00,5220001.00,53.8,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320
5220002.00,5220002.00,59.6,37.7,0.6,0.3,1.0,0.0,0.6,0.0,0.3,3080
5220003.00,5220003.00,57.2,38.7,0.4,0.0,0.0,1.5,1.3,0.0,0.9,2315
5220004.00,5220004.00,50.1,44.8,0.0,0.0,2.0,0.6,0.6,0.0,1.6,4395
5220005.00,5220005.00,49.6,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1120
5220006.00,5220006.00,41.6,52.6,0.3,2.2,2.1,0.2,0.0,0.0,0.9,5835
5220007.00,5220007.00,51.0,43.3,1.8,2.1,0.7,0.2,0.3,0.0,0.7,7005
5220008.00,5220008.00,47.4,49.0,0.0,0.8,0.6,0.0,0.3,0.0,1.6,3215
5220009.00,5220009.00,67.9,30.0,0.0,1.1,0.0,0.0,0.0,0.0,0.6,2350
5220011.00,5220011.00,53.0,43.5,0.9,0.6,1.4,0.0,0.0,0.0,0.4,4035
5220012.00,5220012.00,55.4,38.5,1.1,2.7,1.2,0.8,0.0,0.0,0.2,6925
5220015.00,5220015.00,27.3,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
5220200.00,5220200.00,59.0,40.1,0.4,0.4,0.0,0.0,0.0,0.0,0.4,2270
5220201.00,5220201.00,55.9,37.6,1.1,2.6,1.1,0.4,0.5,0.5,0.2,6605
5220202.00,5220202.00,60.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205
5220300.00,5220300.00,59.7,38.0,0.7,1.2,0.0,0.0,0.0,0.0,0.4,4220
5220301.00,5220301.00,41.2,55.8,1.0,0.0,0.0,0.7,0.0,0.0,0.7,1470
5220302.00,5220302.00,62.4,35.5,0.9,0.0,0.8,0.0,0.0,0.0,0.3,4470
5220303.00,5220303.00,55.2,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3860
5220304.00,5220304.00,53.2,45.6,0.3,0.0,0.0,0.0,0.0,0.0,0.3,4755
5220400.00,5220400.00,49.6,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2410
5220401.00,5220401.00,44.5,54.1,0.0,0.0,0.0,0.2,0.0,0.0,0.9,4840
5220402.00,5220402.00,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
5220403.00,5220403.00,62.7,35.4,0.0,0.6,0.0,0.5,0.2,0.0,0.0,4240
5220404.00,5220404.00,48.2,47.2,1.2,0.0,0.0,0.0,0.0,0.0,3.1,2065
5220406.00,5220406.00,49.8,47.9,0.0,0.0,0.0,0.2,0.0,0.0,1.0,4380
5220500.00,5220500.00,55.4,43.1,0.0,0.5,0.0,0.3,0.0,0.0,0.4,5725
5220501.00,5220501.00,58.7,39.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3290
5220600.00,5220600.00,61.1,38.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,4530
5220700.00,5220700.00,54.8,43.2,0.4,0.0,0.0,0.0,0.0,0.3,0.9,4945
5430001.00,5430001.00,42.3,54.2,0.8,0.6,0.0,0.3,0.0,0.7,1.0,6925
5430002.01,5430002.01,52.8,44.0,0.4,2.0,0.0,0.0,0.2,0.4,0.4,5620
5430002.02,5430002.02,58.7,32.1,4.0,3.5,1.1,0.3,0.0,0.0,0.5,3120
5430002.04,5430002.04,55.6,30.7,5.9,3.5,3.6,0.5,0.0,0.0,0.2,6465
5430002.05,5430002.05,34.1,24.9,8.7,7.3,23.4,0.0,0.0,0.0,0.9,5315
5430002.06,5430002.06,62.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830
5430003.00,5430003.00,44.3,51.3,1.1,0.5,1.2,0.2,0.0,0.0,1.1,5230
5430004.00,5430004.00,61.2,36.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1030
5430005.00,5430005.00,39.5,54.1,0.7,1.0,1.4,0.3,0.0,1.0,1.8,3810
5430006.00,5430006.00,37.7,46.4,2.5,3.4,7.5,0.0,0.0,0.0,0.9,1605
5430007.00,5430007.00,38.6,54.6,0.6,1.5,3.0,0.3,0.0,0.6,1.2,3370
5430008.00,5430008.00,44.9,51.7,0.3,0.0,0.0,0.5,0.0,0.0,2.2,2970
5430009.00,5430009.00,55.8,39.5,2.0,0.7,0.0,1.0,0.0,0.4,0.3,5240
5430010.00,5430010.00,48.2,46.4,0.0,1.2,0.0,0.0,0.4,2.2,1.4,4760
5430011.01,5430011.01,41.8,33.8,3.2,5.4,13.4,1.8,0.2,0.0,0.6,4095
5430011.02,5430011.02,56.0,35.2,3.8,3.0,1.4,0.4,0.0,0.0,0.2,4195
5430011.03,5430011.03,55.1,40.3,1.4,0.0,1.4,1.3,0.0,0.0,0.3,4525
5430012.00,5430012.00,57.1,40.5,1.1,0.0,0.3,0.2,0.0,0.0,0.6,6290
5430013.00,5430013.00,54.8,43.5,0.6,0.0,0.0,0.2,0.0,0.0,0.3,4710
5430014.01,5430014.01,60.4,35.3,2.2,0.5,0.8,0.0,0.3,0.0,0.5,5490
5430014.02,5430014.02,63.8,33.1,0.5,0.7,0.0,0.9,0.1,0.0,0.4,6790
5430014.03,5430014.03,57.9,37.1,1.6,1.3,0.6,1.0,0.0,0.0,0.2,5755
5430014.04,5430014.04,62.1,35.3,1.2,0.5,0.0,0.0,0.0,0.0,0.5,4740
5430100.00,5430100.00,56.8,38.1,1.3,0.4,2.7,0.0,0.0,0.0,0.0,4275
5430101.00,5430101.00,58.5,36.6,0.0,0.0,2.6,0.0,0.0,0.0,0.0,3035
5430102.00,5430102.00,64.6,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325
5430110.01,5430110.01,52.3,46.4,0.0,0.0,0.0,0.3,0.3,0.0,0.5,5950
5430110.02,5430110.02,56.0,39.4,2.3,0.9,0.9,0.0,0.0,0.0,0.5,6840
5430200.00,5430200.00,64.1,33.9,0.0,0.0,0.0,1.4,0.9,0.0,0.0,1740
5430201.00,5430201.00,61.5,34.1,1.7,0.9,1.5,0.2,0.1,0.0,0.2,9190
5430202.00,5430202.00,60.4,38.7,0.1,0.0,0.0,0.0,0.0,0.0,0.5,7680
8250001.01,8250001.01,45.7,51.1,0.7,0.3,0.0,0.3,0.5,0.0,1.2,5140
8250001.02,8250001.02,56.0,38.9,1.5,0.8,0.0,1.5,0.5,0.0,0.8,6085
8250001.03,8250001.03,48.5,50.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1970
8250001.04,8250001.04,49.7,46.3,2.4,0.3,0.4,0.5,0.0,0.0,0.5,5550
8250001.05,8250001.05,56.2,42.5,0.0,0.0,0.0,0.3,0.3,0.0,0.0,2920
8250001.06,8250001.06,54.6,43.7,0.0,0.0,0.0,0.0,0.3,0.0,0.7,3490
8250001.07,8250001.07,44.8,48.2,4.5,0.6,0.5,0.4,0.3,0.0,0.6,5835
8250001.08,8250001.08,54.7,39.8,2.8,1.2,0.0,0.3,0.7,0.0,0.5,4905
8250001.09,8250001.09,48.7,40.8,3.6,0.3,0.0,0.4,4.6,0.0,1.2,5835
8250001.10,8250001.10,42.5,53.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2540
8250001.11,8250001.11,54.4,38.4,3.0,1.0,0.0,1.5,0.4,0.0,1.3,4565
8250001.13,8250001.13,45.5,45.9,2.7,0.6,0.0,0.5,3.5,0.0,0.8,4435
8250001.14,8250001.14,47.3,46.9,2.0,0.7,0.0,0.0,2.4,0.0,0.9,2305
8250001.17,8250001.17,48.9,41.0,3.6,0.5,0.0,2.0,2.8,0.0,0.9,4315
8250001.22,8250001.22,57.5,38.0,1.5,0.0,0.0,0.9,0.6,0.0,1.2,4105
8250001.23,8250001.23,50.9,43.9,1.6,0.7,1.1,0.5,1.0,0.0,0.3,3055
8250001.25,8250001.25,58.0,32.2,2.8,4.0,1.1,0.4,0.3,0.0,1.4,6660
8250001.28,8250001.28,57.3,35.5,4.2,0.8,0.0,0.7,0.8,0.0,0.6,4145
8250001.29,8250001.29,55.2,35.7,3.5,3.8,0.8,0.0,0.6,0.0,0.2,4385
8250001.30,8250001.30,53.6,37.5,2.2,3.8,0.2,1.0,0.8,0.0,0.6,6245
8250001.32,8250001.32,55.2,38.4,4.2,1.3,0.3,0.2,0.0,0.0,0.2,5580
8250001.33,8250001.33,60.4,35.3,0.0,2.8,0.0,0.0,0.0,0.0,0.5,3015
8250001.35,8250001.35,59.6,29.0,5.6,3.7,0.0,0.8,0.7,0.3,0.0,4550
8250001.37,8250001.37,62.9,27.9,3.5,2.7,0.8,0.0,0.3,0.7,1.1,4605
8250001.38,8250001.38,63.2,27.8,3.4,1.4,0.4,1.8,1.0,0.0,1.1,5640
8250001.39,8250001.39,61.2,27.1,6.2,2.6,0.0,0.5,0.8,0.0,1.0,6910
8250001.40,8250001.40,62.2,28.4,6.0,1.4,0.0,0.0,0.5,0.0,1.0,2075
8250001.41,8250001.41,45.1,35.9,7.3,8.5,1.6,0.9,0.0,0.0,0.0,2825
8250001.42,8250001.42,50.1,35.0,5.1,6.1,0.9,1.2,0.5,0.0,0.9,6935
8250001.43,8250001.43,50.1,32.1,7.2,6.6,1.5,0.8,0.9,0.0,0.8,5020
8250001.44,8250001.44,52.2,37.9,4.7,3.5,0.0,1.3,0.0,0.0,0.0,2680
8250001.45,8250001.45,46.4,43.8,6.5,1.8,0.0,0.6,0.0,0.0,0.5,3900
8250001.46,8250001.46,53.3,30.2,4.5,8.3,1.6,1.0,0.5,0.0,0.4,4625
8250001.47,8250001.47,55.2,33.0,5.5,3.6,1.8,0.0,0.0,0.0,0.3,3425
8250001.48,8250001.48,54.1,35.9,5.0,2.8,0.5,0.7,0.6,0.4,0.2,8130
8250001.49,8250001.49,59.5,33.6,1.1,0.9,2.0,0.9,1.6,0.0,0.4,4260
8250001.50,8250001.50,52.3,36.0,3.9,3.2,1.0,1.7,0.0,0.0,0.0,2055
8250002.02,8250002.02,47.4,36.3,5.3,1.0,1.3,7.3,0.0,0.7,0.6,7210
8250002.04,8250002.04,39.3,48.2,0.0,0.0,4.5,0.0,0.0,0.0,2.7,560
8250002.06,8250002.06,56.2,39.3,2.4,0.7,0.0,0.9,0.4,0.0,0.3,3815
8250002.07,8250002.07,54.6,41.0,0.7,0.8,0.6,1.2,0.0,0.0,0.8,4860
8250002.08,8250002.08,52.4,42.9,0.9,0.2,1.4,1.7,0.0,0.0,0.3,4345
8250002.09,8250002.09,45.8,46.4,2.1,2.9,1.5,1.1,0.3,0.0,0.3,3650
8250002.10,8250002.10,53.6,41.7,2.2,0.4,0.6,0.6,0.0,0.0,0.6,3920
8250002.11,8250002.11,59.4,35.3,2.3,0.8,0.6,1.2,0.5,0.0,0.0,3855
8250002.12,8250002.12,46.0,49.7,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1870
8250002.14,8250002.14,52.1,37.5,4.1,2.1,2.1,1.2,0.6,0.0,0.3,4825
8250002.15,8250002.15,53.8,36.9,3.5,2.0,2.5,0.7,0.0,0.0,0.8,4285
8250002.17,8250002.17,53.1,44.0,0.0,0.9,0.9,0.7,0.0,0.0,0.7,2240
8250002.18,8250002.18,46.2,48.4,1.6,0.4,0.6,0.2,0.9,0.0,1.4,6725
8250002.22,8250002.22,58.0,36.4,1.9,1.7,0.4,0.7,0.0,0.0,0.6,4990
8250002.24,8250002.24,49.4,43.0,2.8,2.4,0.0,0.5,0.5,0.0,0.8,3950
8250002.25,8250002.25,44.0,51.5,1.7,0.0,0.0,1.0,0.7,0.0,0.4,4590
8250002.26,8250002.26,45.5,38.0,8.9,2.8,4.2,0.6,0.0,0.0,0.0,3580
8250002.27,8250002.27,47.2,34.9,8.8,4.0,2.2,2.2,0.4,0.0,0.0,4240
8250002.28,8250002.28,48.4,43.1,3.2,2.2,1.1,1.2,0.4,0.0,0.4,5215
8250002.29,8250002.29,51.2,40.4,5.2,0.8,0.9,0.9,0.4,0.0,0.4,4495
8250002.30,8250002.30,44.7,44.6,5.5,1.9,0.0,2.0,0.4,0.0,0.2,5160
8250002.31,8250002.31,47.2,39.7,4.8,2.7,2.0,3.1,0.0,0.0,0.3,4290
8250002.32,8250002.32,46.9,46.4,3.4,1.7,0.0,1.0,0.0,0.0,0.0,3495
8250002.33,8250002.33,46.5,41.0,5.0,3.3,0.0,2.0,0.3,0.0,0.7,2990
8250002.34,8250002.34,51.3,39.8,3.2,1.5,3.0,0.5,0.7,0.0,0.0,4960
8250002.35,8250002.35,53.4,41.6,2.1,0.7,0.7,0.7,0.0,0.0,0.3,3400
8250002.36,8250002.36,45.9,45.8,5.4,0.0,1.5,0.0,0.0,0.0,0.8,3245
8250002.37,8250002.37,50.5,40.1,6.5,1.5,0.9,0.0,0.0,0.0,0.0,3295
8250002.38,8250002.38,51.1,35.8,6.1,3.7,2.0,0.6,0.5,0.0,0.1,14180
8250002.39,8250002.39,47.6,43.5,4.4,1.8,1.4,0.8,0.5,0.0,0.0,6645
8250002.40,8250002.40,53.0,38.0,3.7,2.6,1.2,0.7,0.3,0.0,0.5,9215
8250003.00,8250003.00,42.1,55.8,0.8,0.0,0.0,0.5,0.5,0.0,0.0,3110
8250004.00,8250004.00,55.8,40.9,0.8,0.7,0.0,0.3,0.7,0.0,0.5,3020
8250005.00,8250005.00,53.4,42.0,1.2,1.2,0.0,0.0,1.9,0.0,0.0,2070
8250006.00,8250006.00,46.1,49.1,1.3,0.7,0.2,0.7,0.2,0.0,1.2,6100
8250007.01,8250007.01,48.8,44.2,2.0,0.0,0.4,1.0,2.3,0.6,0.7,5700
8250007.02,8250007.02,51.3,41.0,3.3,0.2,0.0,0.5,2.0,0.7,0.9,5935
8250007.03,8250007.03,45.9,47.2,1.8,0.8,0.2,0.4,3.3,0.0,0.6,5620
8250007.05,8250007.05,47.0,35.8,0.0,0.0,0.0,0.0,17.2,0.0,0.0,670
8250007.06,8250007.06,45.2,40.7,4.3,0.7,0.0,0.0,7.0,0.7,1.2,3365
8250007.07,8250007.07,37.5,37.1,3.6,0.0,1.1,0.0,20.4,0.0,0.0,1375
8250008.00,8250008.00,51.4,44.7,0.4,0.9,0.0,0.5,1.8,0.0,0.5,2820
8250009.00,8250009.00,41.6,53.3,2.8,0.8,0.0,0.0,0.8,0.0,0.6,2515
8250010.00,8250010.00,46.6,42.2,5.4,3.1,0.0,0.6,0.6,0.0,1.2,6985
8250011.00,8250011.00,49.6,48.4,0.0,0.0,0.0,0.5,0.6,0.0,0.3,3265
8250012.00,8250012.00,52.5,41.7,2.3,0.5,0.0,0.9,0.8,0.0,1.2,3895
8250013.00,8250013.00,50.1,39.7,3.8,3.0,0.0,0.7,1.0,0.0,0.9,4680
8250014.00,8250014.00,50.5,40.1,1.0,1.3,0.0,0.7,5.6,0.0,0.9,4565
8250015.00,8250015.00,47.5,48.3,0.4,0.0,0.0,0.6,2.3,0.0,0.3,3430
8250016.00,8250016.00,48.9,47.4,1.9,0.0,0.0,0.2,1.0,0.0,0.5,4655
8250017.01,8250017.01,56.5,34.5,7.6,0.0,0.0,0.6,0.2,0.0,0.3,4940
8250017.03,8250017.03,49.8,43.0,3.9,1.1,0.0,0.4,0.4,0.0,1.4,3585
8250017.04,8250017.04,57.6,33.1,6.2,1.3,0.8,0.7,0.5,0.0,0.0,4370
8250017.05,8250017.05,52.1,34.0,7.4,2.5,0.8,2.3,0.3,0.0,0.6,3530
8250017.06,8250017.06,48.5,36.8,10.4,1.0,0.4,2.0,0.5,0.0,0.8,5100
8250018.01,8250018.01,47.9,43.7,2.7,1.2,0.0,2.3,0.0,0.3,1.5,2985
8250018.02,8250018.02,47.5,42.9,7.4,0.0,0.0,0.7,0.0,0.0,1.0,2085
8250019.00,8250019.00,41.7,49.5,5.0,0.5,0.2,0.6,0.0,0.0,1.9,5010
8250020.00,8250020.00,40.5,51.7,3.6,1.0,0.9,0.4,0.7,0.0,1.3,5115
8250021.01,8250021.01,36.0,58.5,1.6,0.7,0.0,0.0,1.4,0.0,1.8,2805
8250021.02,8250021.02,44.6,48.5,4.3,0.0,0.0,0.0,0.0,0.0,1.3,1960
8250022.01,8250022.01,43.2,50.6,2.1,1.0,0.8,0.3,1.6,0.0,0.3,4625
8250022.02,8250022.02,45.1,41.6,7.4,2.0,0.5,0.7,0.7,1.2,0.7,2960
8250023.00,8250023.00,42.3,51.8,1.4,0.0,0.2,0.4,2.6,0.0,0.8,5285
8250024.00,8250024.00,35.9,57.7,2.4,0.6,0.4,0.8,1.5,0.2,0.6,7065
8250025.00,8250025.00,39.0,54.0,2.2,1.2,0.3,0.6,0.8,0.0,1.9,5295
8250026.00,8250026.00,33.0,55.5,5.7,1.5,0.0,0.4,0.0,0.7,2.6,3425
8250027.01,8250027.01,34.5,56.9,3.1,0.8,0.0,1.3,1.2,0.0,2.0,3030
8250027.02,8250027.02,43.0,48.5,5.0,0.0,1.1,0.0,0.8,0.0,0.8,1885
8250027.03,8250027.03,29.2,64.9,1.7,0.6,0.0,0.8,0.6,0.0,1.7,1795
8250028.00,8250028.00,50.1,44.3,1.7,0.0,0.0,0.0,3.4,0.0,0.5,3915
8250029.00,8250029.00,45.4,45.6,4.8,0.7,0.1,1.1,1.0,0.0,1.2,7055
8250030.00,8250030.00,34.3,55.2,4.7,2.8,0.2,0.5,0.9,0.0,1.3,4775
8250031.01,8250031.01,32.9,55.6,4.5,3.3,0.5,1.4,0.5,0.0,1.3,5090
8250031.02,8250031.02,34.9,56.9,2.7,1.3,0.0,0.8,1.9,0.0,1.6,4505
8250032.00,8250032.00,29.9,66.9,0.9,0.0,1.4,0.9,0.0,0.0,0.0,2175
8250033.01,8250033.01,46.1,50.5,0.0,0.0,0.6,0.9,0.3,0.0,0.9,3235
8250033.02,8250033.02,43.2,50.9,2.9,0.5,0.0,0.7,0.0,0.9,0.5,5100
8250034.00,8250034.00,29.1,62.9,4.4,0.0,0.5,0.5,0.4,0.0,1.5,4135
8250035.01,8250035.01,48.4,42.7,4.6,0.6,0.0,2.2,0.0,0.8,0.4,6920
8250035.02,8250035.02,36.1,50.0,7.3,0.0,0.0,5.1,0.0,0.0,0.9,1580
8250036.01,8250036.01,48.7,43.6,2.9,0.4,1.6,1.9,0.0,0.0,0.9,3730
8250036.02,8250036.02,38.9,46.6,8.0,0.0,0.0,4.3,0.0,0.0,1.9,3175
8250037.00,8250037.00,45.0,39.5,10.2,0.2,0.0,3.6,0.0,0.5,0.9,4055
8250038.02,8250038.02,43.8,30.9,21.2,0.5,0.3,2.9,0.0,0.0,0.6,3985
8250038.03,8250038.03,51.1,26.4,16.7,0.9,0.0,4.2,0.0,0.0,0.4,3975
