country_code,country_name,year,gdp
USA,United States,2025,30769700000000.0
CHN,China,2025,19498039388042.6
DEU,Germany,2025,5050922925047.05
JPN,Japan,2025,4435162999976.94
GBR,United Kingdom,2025,4002587541846.01
IND,India,2025,3956067115771.63
FRA,France,2025,3366315927447.33
RUS,Russian Federation,2025,2561310169358.74
ITA,Italy,2025,2551556954100.35
CAN,Canada,2025,2319899772425.92
BRA,Brazil,2025,2279920092492.13
ESP,Spain,2025,1906453309985.88
KOR,"Korea, Rep.",2025,1872374961553.15
MEX,Mexico,2025,1832641364775.52
AUS,Australia,2025,1798518933689.21
TUR,Turkiye,2025,1597293229287.0
IDN,Indonesia,2025,1445642584163.81
NLD,Netherlands,2025,1332767651100.39
SAU,Saudi Arabia,2025,1276942933333.33
CHE,Switzerland,2025,1043529899250.92
POL,Poland,2025,1035491784197.44
BEL,Belgium,2025,725466462859.646
IRL,Ireland,2025,721701359046.313
ARG,Argentina,2025,683097891618.597
SWE,Sweden,2025,668998664082.081
ISR,Israel,2025,610777842873.595
SGP,Singapore,2025,603869516998.738
AUT,Austria,2025,579470021095.418
THA,Thailand,2025,577009981112.015
